KA,KU,Tier,Level,Number,Learning Outcome,,,
PD,Parallel Architecture,3,Familiarity,8,Describe the key performance challenges in different memory and distributed system topologies.,8/19/13,new,
,,,,,,,,
PD,Parallel Performance,0,0,,,,,
PD,Parallel Performance,3,Usage,1,Detect and correct a load imbalance.,,,
PD,Parallel Performance,3,Usage,2,Calculate the implications of Amdahl’s law for a particular parallel algorithm (cross-reference SF/Evaluation for Amdahl’s Law).,,,
PD,Parallel Performance,3,Familiarity,3,Describe how data distribution/layout can affect an algorithm’s communication costs.,,,
PD,Parallel Performance,3,Usage,4,Detect and correct an instance of false sharing.,,,
PD,Parallel Performance,3,Familiarity,5,Explain the impact of scheduling on parallel performance.,,,
PD,Parallel Performance,3,Familiarity,6,Explain performance impacts of data locality.,,,
PD,Parallel Performance,3,Familiarity,7,Explain the impact and trade-off related to power usage on parallel performance.,,,
,,,,,,,,
PD,Distributed Systems,0,0,,,,,
PD,Distributed Systems,3,Familiarity,1,Distinguish network faults from other kinds of failures.,,,
PD,Distributed Systems,3,Familiarity,2,Explain why synchronization constructs such as simple locks are not useful in the presence of distributed faults.,8/19/13,Deleted outcome,
PD,Distributed Systems,3,Usage,3,"Write a program that performs any required marshalling and conversion into message units, such as packets, to communicate interesting data between two hosts.",,,
PD,Distributed Systems,3,Usage,4,Measure the observed throughput and response latency across hosts in a given network.,,,
PD,Distributed Systems,3,Familiarity,5,"Explain why no distributed system can be simultaneously consistent, available, and partition tolerant.",,,
PD,Distributed Systems,3,Usage,6,"Implement a simple server -- for example, a spell checking service.",,,
PD,Distributed Systems,3,Familiarity,7,"Explain the tradeoffs among overhead, scalability, and fault tolerance when choosing a stateful v stateless design for a given service.",,,
PD,Distributed Systems,3,Familiarity,8,"Describe the scalability challenges associated with a service growing to accommodate many clients, as well as those associated with a service only transiently having many clients.",,,
PD,Distributed Systems,3,Usage,9,Give examples of problems for which consensus algorithms such as leader election are required.,,,
,,,,,,,,
PD,Cloud Computing,0,0,,,,,
PD,Cloud Computing,3,Familiarity,1,Discuss the importance of elasticity and resource management in cloud computing.,,,
PD,Cloud Computing,3,Familiarity,2,Explain strategies to synchronize a common view of shared data across a collection of devices.,,,
PD,Cloud Computing,3,Familiarity,3,Explain the advantages and disadvantages of using virtualized infrastructure.,,,
PD,Cloud Computing,3,Usage,4,Deploy an application that uses cloud infrastructure for computing and/or data resources.,,,
PD,Cloud Computing,3,Usage,5,Appropriately partition an application between a client and resources.,,,
,,,,,,,,
PD,Formal Models and Semantics,0,0,,,,,
PD,Formal Models and Semantics,3,Usage,1,"Model a concurrent process using a formal model, such as pi-calculus.",,,
PD,Formal Models and Semantics,3,Familiarity,2,Explain the characteristics of a particular formal parallel model.,,,
PD,Formal Models and Semantics,3,Usage,3,Formally model a shared memory system to show if it is consistent.,,,
PD,Formal Models and Semantics,3,Usage,4,Use a model to show progress guarantees in a parallel algorithm.,,,
PD,Formal Models and Semantics,3,Usage,5,Use formal techniques to show that a parallel algorithm is correct with respect to a safety or liveness property.,,,
PD,Formal Models and Semantics,3,Usage,6,Decide if a specific execution is linearizable or not.,,,
,,,,,,,,
PL,Object-Oriented Programming,4,6,,,,,
PL,Object-Oriented Programming,1,Usage,1,Design and implement a class.,8/19/13,Revised,
PL,Object-Oriented Programming,1,Usage,2,Use subclassing to design simple class hierarchies that allow code to be reused for distinct subclasses.,,,
PL,Object-Oriented Programming,1,Usage,3,Correctly reason about control flow in a program using dynamic dispatch.,8/19/13,Revised,
PL,Object-Oriented Programming,2,Assessment,4,Compare and contrast (1) the procedural/functional approach—defining a function for each operation with the function body providing a case for each data variant—and (2) the object-oriented approach—defining a class for each data variant with the class definition providing a method for each operation  Understand both as defining a matrix of operations and variants.,8/19/13,Revised,
PL,Object-Oriented Programming,2,Familiarity,5,Explain the relationship between object-oriented inheritance (code-sharing and overriding) and subtyping (the idea of a subtype being usable in a context that expects the supertype).,8/19/13,Revised,
PL,Object-Oriented Programming,2,Usage,6,Use object-oriented encapsulation mechanisms such as interfaces and private members.,8/19/13,Revised,
PL,Object-Oriented Programming,2,Usage,7,"Define and use iterators and other operations on aggregates, including operations that take functions as arguments, in multiple programming languages, selecting the most natural idioms for each language.",8/19/13,Revised,
,,,,,,,,
PL,Functional Programming,3,4,,,,,
PL,Functional Programming,1,Usage,1,Write basic algorithms that avoid assigning to mutable state or considering reference equality.,8/19/13,Revised,
PL,Functional Programming,1,Usage,2,Write useful functions that take and return other functions.,,,
PL,Functional Programming,1,Assessment,3,Compare and contrast (1) the procedural/functional approach—defining a function for each operation with the function body providing a case for each data variant—and (2) the object-oriented approach—defining a class for each data variant with the class definition providing a method for each operation  Understand both as defining a matrix of operations and variants.,8/19/13,Revised,
PL,Functional Programming,2,Usage,4,Correctly reason about variables and lexical scope in a program using function closures.,,,
PL,Functional Programming,2,Usage,5,Use functional encapsulation mechanisms such as closures and modular interfaces.,,,
PL,Functional Programming,2,Usage,6,"Define and use iterators and other operations on aggregates, including operations that take functions as arguments, in multiple programming languages, selecting the most natural idioms for each language.",,,
,,,,,,,,
PL,Event-Driven and Reactive Programming,0,2,,,,,
PL,Event-Driven and Reactive Programming,2,Usage,1,"Write event handlers for use in reactive systems, such as GUIs.",,,
PL,Event-Driven and Reactive Programming,2,Familiarity,2,Explain why an event-driven programming style is natural in domains where programs react to external events.,8/19/13,new,
PL,Event-Driven and Reactive Programming,2,Familiarity,3,"Describe an interactive system in terms of a model, a view, and a controller.",8/19/13,Revised,
,,,,,,,,
PL,Basic Type Systems,1,4,,,,,
PL,Basic Type Systems,1,Familiarity,1,"For both a primitive and a compound type, informally describe the values that have that type.",8/19/13,Revised,
PL,Basic Type Systems,1,Familiarity,2,"For a language with a static type system, describe the operations that are forbidden statically, such as passing the wrong type of value to a function or method.",8/19/13,new,
PL,Basic Type Systems,1,Familiarity,3,Describe examples of program errors detected by a type system.,8/19/13,new,
PL,Basic Type Systems,1,Usage,4,"For multiple programming languages, identify program properties checked statically and program properties checked dynamically.",8/19/13,new,
PL,Basic Type Systems,1,Familiarity,5,Give an example program that does not type-check in a particular language and yet would have no error if run.,8/19/13,new,
PL,Basic Type Systems,1,Usage,6,Use types and type-error messages to write and debug programs.,8/19/13,new,
PL,Basic Type Systems,2,Familiarity,7,Explain how typing rules define the set of operations that are legal for a type.,8/19/13,new,
PL,Basic Type Systems,2,Usage,8,Write down the type rules governing the use of a particular compound type.,8/19/13,new,
PL,Basic Type Systems,2,Familiarity,9,Explain why undecidability requires type systems to conservatively approximate program behavior.,8/19/13,new,
PL,Basic Type Systems,2,Usage,10,"Define and use program pieces (such as functions, classes, methods) that use generic types, including for collections.",,,
PL,Basic Type Systems,2,Familiarity,11,"Discuss the differences among generics, subtyping, and overloading.",8/19/13,new,
PL,Basic Type Systems,2,Familiarity,12,"Explain multiple benefits and limitations of static typing in writing, maintaining, and debugging software.",,,
,,,,,,,,
PL,Program Representation,0,1,,,,,
PL,Program Representation,2,Familiarity,1,Explain how programs that process other programs treat the other programs as their input data.,8/19/13,new,
PL,Program Representation,2,Usage,2,Describe an abstract syntax tree for a small language.,8/19/13,new,
PL,Program Representation,2,Familiarity,3,Describe the benefits of having program representations other than strings of source code.,8/19/13,new,
PL,Program Representation,2,Usage,4,"Write a program to process some representation of code for some purpose, such as an interpreter, an expression optimizer, or a documentation generator.",8/19/13,Revised,
,,,,,,,,
PL,Language Translation and Execution,0,3,,,,,
PL,Language Translation and Execution,2,Familiarity,1,"Distinguish a language definition (what constructs mean) from a particular language implementation (compiler vs interpreter, run-time representation of data objects, etc).",,,
PL,Language Translation and Execution,2,Familiarity,2,Distinguish syntax and parsing from semantics and evaluation.,8/19/13,new,
PL,Language Translation and Execution,2,Familiarity,3,"Sketch a low-level run-time representation of core language constructs, such as objects or closures.",8/19/13,new,
PL,Language Translation and Execution,2,Familiarity,4,"Explain how programming language implementations typically organize memory into global data, text, heap, and stack sections and how features such as recursion and memory management map to this memory model.",,,
PL,Language Translation and Execution,2,Usage,5,Identify and fix memory leaks and dangling-pointer dereferences.,8/19/13,Revised,
PL,Language Translation and Execution,2,Familiarity,6,"Discuss the benefits and limitations of garbage collection, including the notion of reachability.",8/19/13,Revised,
,,,,,,,,
PL,Syntax Analysis,0,0,,,,,
PL,Syntax Analysis,3,Usage,1,Use formal grammars to specify the syntax of languages.,,,
PL,Syntax Analysis,3,Usage,2,Use declarative tools to generate parsers and scanners.,,,
PL,Syntax Analysis,3,Familiarity,3,"Identify key issues in syntax definitions: ambiguity, associativity, precedence.",,,
,,,,,,,,
PL,Compiler Semantic Analysis,0,0,,,,,
PL,Compiler Semantic Analysis,3,Usage,1,"Implement context-sensitive, source-level static analyses such as type-checkers or resolving identifiers to identify their binding occurrences.",,,
PL,Compiler Semantic Analysis,3,Usage,2,Describe semantic analyses using an attribute grammar.,8/19/13,new,
,,,,,,,,
PL,Code Generation,0,0,,,,,
PL,Code Generation,3,Familiarity,1,Identify all essential steps for automatically converting source code into assembly or other low-level languages.,,,
PL,Code Generation,3,Usage,2,Generate the low-level code for calling functions/methods in modern languages.,,,
PL,Code Generation,3,Familiarity,3,Discuss why separate compilation requires uniform calling conventions.,8/19/13,new,
PL,Code Generation,3,Familiarity,4,Discuss why separate compilation limits optimization because of unknown effects of calls.,8/19/13,new,
PL,Code Generation,3,Familiarity,5,"Discuss opportunities for optimization introduced by naive translation and approaches for achieving optimization, such as instruction selection, instruction scheduling, register allocation, and peephole optimization.",8/19/13,Revised,
,,,,,,,,
PL,Runtime Systems,0,0,,,,,
PL,Runtime Systems,3,Familiarity,1,"Compare the benefits of different memory-management schemes, using concepts such as fragmentation, locality, and memory overhead.",,,
PL,Runtime Systems,3,Familiarity,2,Discuss benefits and limitations of automatic memory management.,,,
PL,Runtime Systems,3,Familiarity,3,"Explain the use of metadata in run-time representations of objects and activation records, such as class pointers, array lengths, return addresses, and frame pointers.",8/19/13,Revised,
PL,Runtime Systems,3,Familiarity,4,"Discuss advantages, disadvantages, and difficulties of just-in-time and dynamic recompilation.",,,
PL,Runtime Systems,3,Familiarity,5,Identify the services provided by modern language run-time systems.,8/19/13,new,
,,,,,,,,
PL,Static Analysis,0,0,,,,,
PL,Static Analysis,3,Usage,1,Define useful static analyses in terms of a conceptual framework such as dataflow analysis.,,,
PL,Static Analysis,3,Familiarity,2,Explain why non-trivial sound static analyses must be approximate.,8/19/13,new,
PL,Static Analysis,3,Usage,3,Communicate why an analysis is correct (sound and terminating).,,,
PL,Static Analysis,3,Familiarity,4,Distinguish “may” and “must” analyses.,,,
PL,Static Analysis,3,Familiarity,5,Explain why potential aliasing limits sound program analysis and how alias analysis can help.,,,
PL,Static Analysis,3,Usage,6,Use the results of a static analysis for program optimization and/or partial program correctness.,,,
,,,,,,,,
PL,Advanced Programming Constructs,0,0,,,,,
PL,Advanced Programming Constructs,3,Usage,1,Use various advanced programming constructs and idioms correctly.,,,
PL,Advanced Programming Constructs,3,Familiarity,2,"Discuss how various advanced programming constructs aim to improve program structure, software quality, and programmer productivity.",,,
PL,Advanced Programming Constructs,3,Familiarity,3,Discuss how various advanced programming constructs interact with the definition and implementation of other language features.,,,
,,,,,,,,
PL,Concurrency and Parallelism,0,0,,,,,
PL,Concurrency and Parallelism,3,Usage,1,"Write correct concurrent programs using multiple programming models, such as shared memory, actors, futures, and data-parallelism primitives.",,,
PL,Concurrency and Parallelism,3,Usage,2,Use a message-passing model to analyze a communication protocol.,8/19/13,new,
PL,Concurrency and Parallelism,3,Familiarity,3,Explain why programming languages do not guarantee sequential consistency in the presence of data races and what programmers must do as a result.,,,
,,,,,,,,
PL,Type Systems,0,0,,,,,
PL,Type Systems,3,Usage,1,Define a type system precisely and compositionally.,,,
PL,Type Systems,3,Familiarity,2,"For various foundational type constructors, identify the values they describe and the invariants they enforce.",,,
PL,Type Systems,3,Familiarity,3,Precisely specify the invariants preserved by a sound type system.,,,
PL,Type Systems,3,Usage,4,Prove type safety for a simple language in terms of preservation and progress theorems.,8/19/13,new,
PL,Type Systems,3,Usage,5,Implement a unification-based type-inference algorithm for a simple language.,8/19/13,new,
PL,Type Systems,3,Familiarity,6,Explain how static overloading and associated resolution algorithms influence the dynamic behavior of programs.,8/19/13,new,
,,,,,,,,
PL,Formal Semantics,0,0,,,,,
PL,Formal Semantics,3,Usage,1,Give a formal semantics for a small language.,,,
PL,Formal Semantics,3,Usage,2,Write a lambda-calculus program and show its evaluation to a normal form.,8/19/13,new,
PL,Formal Semantics,3,Familiarity,3,"Discuss the different approaches of operational, denotational, and axiomatic semantics.",8/19/13,new,
PL,Formal Semantics,3,Usage,4,Use induction to prove properties of all programs in a language.,,,
PL,Formal Semantics,3,Usage,5,Use induction to prove properaties of all programs in a language that are well-typed according to a formally defined type system.,8/19/13,new,
PL,Formal Semantics,3,Usage,6,Use parametricity to establish the behavior of code given only its type.,8/19/13,new,
PL,Formal Semantics,3,Usage,7,Use formal semantics to build a formal model of a software system other than a programming language.,8/19/13,Revised,
,,,,,,,,
PL,Language Pragmatics,0,0,,,,,
PL,Language Pragmatics,3,Familiarity,1,Discuss the role of concepts such as orthogonality and well-chosen defaults in language design.,,,
PL,Language Pragmatics,3,Usage,2,Use crisp and objective criteria for evaluating language-design decisions.,,,
PL,Language Pragmatics,3,Usage,3,"Give an example program whose result can differ under different rules for evaluation order, precedence, or associativity.",8/19/13,new,
PL,Language Pragmatics,3,Familiarity,4,"Show uses of delayed evaluation, such as user-defined control abstractions.",8/19/13,new,
PL,Language Pragmatics,3,Familiarity,5,Discuss the need for allowing calls to external calls and system libraries and the consequences for language implementation.,8/19/13,new,
,,,,,,,,
PL,Logic Programming,0,0,,,,,
PL,Logic Programming,3,Usage,1,Use a logic language to implement a conventional algorithm.,,,
PL,Logic Programming,3,Usage,2,"Use a logic language to implement an algorithm employing implicit search using clauses, relations, and cuts.",,,
,,,,,,,,
SDF,Algorithms and Design,11,0,,,,,
SDF,Algorithms and Design,1,Familiarity,1,Discuss the importance of algorithms in the problem-solving process.,,,
SDF,Algorithms and Design,1,Familiarity,2,"Discuss how a problem may be solved by multiple algorithms, each with different properties.",,,
SDF,Algorithms and Design,1,Usage,3,Create algorithms for solving simple problems.,,,
SDF,Algorithms and Design,1,Usage,4,"Use a programming language to implement, test, and debug algorithms for solving simple problems.",,,
SDF,Algorithms and Design,1,Usage,5,"Implement, test, and debug simple recursive functions and procedures.",,,
SDF,Algorithms and Design,1,Assessment,6,Determine whether a recursive or iterative solution is most appropriate for a problem.,,,
SDF,Algorithms and Design,1,Usage,7,Implement a divide-and-conquer algorithm for solving a problem.,,,
SDF,Algorithms and Design,1,Usage,8,Apply the techniques of decomposition to break a program into smaller pieces.,,,
SDF,Algorithms and Design,1,Usage,9,Identify the data components and behaviors of multiple abstract data types.,,,
SDF,Algorithms and Design,1,Usage,10,"Implement a coherent abstract data type, with loose coupling between components and behaviors.",,,
SDF,Algorithms and Design,1,Assessment,11,Identify the relative strengths and weaknesses among multiple designs or implementations for a problem.,,,
,,,,,,,,
SDF,Fundamental Programming Concepts,10,0,,,,,
SDF,Fundamental Programming Concepts,1,Assessment,1,"Analyze and explain the behavior of simple programs involving the fundamental programming constructs variables, expressions, assignments, I/O, control constructs, functions, parameter passing, and recursion. ",,,
SDF,Fundamental Programming Concepts,1,Familiarity,2,Identify and describe uses of primitive data types.,,,
SDF,Fundamental Programming Concepts,1,Usage,3,Write programs that use primitive data types.,,,
SDF,Fundamental Programming Concepts,1,Usage,4,Modify and expand short programs that use standard conditional and iterative control structures and functions.,,,
SDF,Fundamental Programming Concepts,1,Usage,5,"Design, implement, test, and debug a program that uses each of the following fundamental programming constructs: basic computation, simple I/O, standard conditional and iterative structures, the definition of functions, and parameter passing.",,,
SDF,Fundamental Programming Concepts,1,Usage,6,Write a program that uses file I/O to provide persistence across multiple executions.,,,
SDF,Fundamental Programming Concepts,1,Assessment,7,Choose appropriate conditional and iteration constructs for a given programming task.,,,
SDF,Fundamental Programming Concepts,1,Familiarity,8,Describe the concept of recursion and give examples of its use.,,,
SDF,Fundamental Programming Concepts,1,Assessment,9,Identify the base case and the general case of a recursively-defined problem.,,,
,,,,,,,,
SDF,Fundamental Data Structures,12,0,,,,,
SDF,Fundamental Data Structures,1,Familiarity,1,Discuss the appropriate use of built-in data structures.,,,
SDF,Fundamental Data Structures,1,Familiarity,2,"Describe common applications for each  of the following data structures: stack, queue, priority queue, set, and map. ",,,
SDF,Fundamental Data Structures,1,Usage,3,"Write programs that use each of the following data structures: arrays, records/structs, strings, linked lists, stacks, queues, sets, and maps.",,,
SDF,Fundamental Data Structures,1,Assessment,4,Compare alternative implementations of data structures with respect to performance.,,,
SDF,Fundamental Data Structures,1,Familiarity,5,Describe how references allow for objects to be accessed in multiple ways.,8/19/13,Revised,
SDF,Fundamental Data Structures,1,Assessment,6,Compare and contrast the costs and benefits of dynamic and static data structure implementations.,,,
SDF,Fundamental Data Structures,1,Assessment,7,Choose the appropriate data structure for modeling a given problem.,,,
,,,,,,,,
SDF,Development Methods,10,0,,,,,
SDF,Development Methods,1,Assessment,1,Trace the execution of a variety of code segments and write summaries of their computations.,,,
SDF,Development Methods,1,Familiarity,2,Explain why the creation of correct program components is important in the production of high-quality software.,,,
SDF,Development Methods,1,Usage,3,"Identify common coding errors that lead to insecure programs (eg, buffer overflows, memory leaks, malicious code) and apply strategies for avoiding such errors.",,,
SDF,Development Methods,1,Usage,4,Conduct a personal code review (focused on common coding errors) on a program component using a provided checklist.,,,
SDF,Development Methods,1,Usage,5,Contribute to a small-team code review focused on component correctness.,,,
SDF,Development Methods,1,Familiarity,6,Describe how a contract can be used to specify the behavior of a program component.,8/19/13,outcome removed,
SDF,Development Methods,1,Usage,7,Refactor a program by identifying opportunities to apply procedural abstraction.,,,
SDF,Development Methods,1,Usage,8,Apply a variety of strategies to the testing and debugging of simple programs.,,,
SDF,Development Methods,1,Usage,9,"Construct, execute and debug programs using a modern IDE and associated tools such as unit testing tools and visual debuggers.",,,
SDF,Development Methods,1,Usage,10,Construct and debug programs using the standard libraries available with a chosen programming language.,,,
SDF,Development Methods,1,Assessment,11,Analyze the extent to which another programmer’s code meets documentation and programming style standards.,,,
SDF,Development Methods,1,Usage,12,Apply consistent documentation and program style standards that contribute to the readability and maintainability of software.,,,
,,,,,,,,
SE,Software Processes,2,1,,,,,
SE,Software Processes,1,Familiarity,1,"Describe how software can interact with and participate in various systems including information management, embedded, process control, and communications systems.",,,
SE,Software Processes,1,Familiarity,2,"Describe the relative advantages and disadvantages among  several  major process models (eg, waterfall, iterative, and agile).",8/19/13,Revised,
SE,Software Processes,1,Familiarity,3,Describe the different practices that are key components of various process models.,,,
SE,Software Processes,1,Familiarity,4,Differentiate among the phases of software development.,,,
SE,Software Processes,1,Familiarity,5,"Describe how programming in the large differs from individual efforts with respect to understanding a large code base, code reading, understanding builds, and understanding context of changes.",,,
SE,Software Processes,2,Familiarity,6,"Explain the concept of a software lifecycle and provide an example, illustrating its phases including the deliverables that are produced.",,,
SE,Software Processes,2,Usage,7,"Compare several common process models with respect to their value for development of particular classes of software systems taking into account issues such as requirement stability, size, and non-functional characteristics.",,,
SE,Software Processes,3,Familiarity,8,Define software quality and describe the role of quality assurance activities in the software process.,,,
SE,Software Processes,3,Familiarity,9,Describe the intent and fundamental similarities among process improvement approaches.,,,
SE,Software Processes,3,Assessment,10,"Compare several process improvement models such as CMM, CMMI, CQI, Plan-Do-Check-Act, or ISO9000.",,,
SE,Software Processes,3,Usage,11,Assess a development effort and recommend potential changes by participating in process improvement (using a model such as PSP) or engaging in a project retrospective.,8/19/13,Revised,
SE,Software Processes,3,Familiarity,12,Explain the role of process maturity models in process improvement.,,,
SE,Software Processes,3,Familiarity,13,Describe several process metrics for assessing and controlling a project.,,,
SE,Software Processes,3,Usage,14,Use project metrics to describe the current state of a project.,,,
,,,,,,,,
SE,Software Project Management,0,2,,,,,
SE,Software Project Management,2,Familiarity,1,Discuss common behaviors that contribute to the effective functioning of a team.,,,
SE,Software Project Management,2,Usage,2,Create and follow an agenda for a team meeting.,,,
SE,Software Project Management,2,Usage,3,Identify and justify necessary roles in a software development team.,,,
SE,Software Project Management,2,Usage,4,"Understand the sources, hazards, and potential benefits of team conflict.",,,
SE,Software Project Management,2,Usage,5,Apply a conflict resolution strategy in a team setting.,,,
SE,Software Project Management,2,Usage,6,"Use an ad hoc method to estimate software development effort (eg, time) and compare to actual effort required.",,,
SE,Software Project Management,2,Familiarity,7,List several examples of software risks.,,,
SE,Software Project Management,2,Familiarity,8,Describe the impact of risk in a software development lifecycle.,,,
SE,Software Project Management,2,Familiarity,9,Describe different categories of risk in software systems.,8/19/13,Outcome removed,
SE,Software Project Management,3,Usage,10,Demonstrate through involvement in a team project the central elements of team building and team management.,,,
SE,Software Project Management,3,Familiarity,11,Describe how the choice of process model affects team organizational structures and decision-making processes.,8/19/13,Revised,
SE,Software Project Management,3,Usage,12,Create a team by identifying appropriate roles and assigning roles to team members.,,,
SE,Software Project Management,3,Usage,13,Assess and provide feedback to teams and individuals on their performance in a team setting.,,,
SE,Software Project Management,3,Familiarity,14,"Using a particular software process, describe the aspects of a project that need to be planned and monitored, (eg, estimates of size and effort, a schedule, resource allocation, configuration control, change management, and project risk identification and management).",8/19/13,Revised,
SE,Software Project Management,3,Usage,15,Track the progress of some stage in a project using appropriate project metrics.,,,
SE,Software Project Management,3,Usage,16,Compare simple software size and cost estimation techniques.,,,
SE,Software Project Management,3,Usage,17,Use a project management tool to assist in the assignment and tracking of tasks in a software development project.,,,
SE,Software Project Management,3,Assessment,18,Describe the impact of risk tolerance on the software development process.,,,
SE,Software Project Management,3,Familiarity,19,"Identify risks and describe approaches to managing risk (avoidance, acceptance, transference, mitigation), and characterize the strengths and shortcomings of each.",,,
SE,Software Project Management,3,Usage,20,Explain how risk affects decisions in the software development process.,,,
SE,Software Project Management,3,Usage,21,Identify security risks for a software system.,8/19/13,New,
SE,Software Project Management,3,Usage,22,Demonstrate a systematic approach to the task of identifying hazards and risks in a particular situation.,,,
SE,Software Project Management,3,Usage,23,Apply the basic principles of risk management in a variety of simple scenarios including a security situation.,,,
SE,Software Project Management,3,Usage,24,Conduct a cost/benefit analysis for a risk mitigation approach.,,,
SE,Software Project Management,3,Usage,25,Identify and analyze some of the risks for an entire system that arise from aspects other than the software.,,,
,,,,,,,,
SE,Tools and Environments,0,2,,,,,
SE,Tools and Environments,2,Familiarity,1,Describe the difference between centralized and distributed software configuration management.,,,
SE,Tools and Environments,2,Familiarity,2,Describe how version control can be used to help manage software release management.,8/19/13,New,
SE,Tools and Environments,2,Usage,3,Identify configuration items and use a source code control tool in a small team-based project.,,,
SE,Tools and Environments,2,Familiarity,4,Describe how available static and dynamic test tools can be integrated into the software development environment.,8/19/13,New,
SE,Tools and Environments,2,Familiarity,5,"Describe the issues that are important in selecting a set of tools for the development of a particular software system, including tools for requirements tracking, design modeling, implementation, build automation, and testing.",,,
SE,Tools and Environments,2,Usage,6,Demonstrate the capability to use software tools in support of the development of a software product of medium size.,,,
,,,,,,,,
SE,Requirements Engineering,1,3,,,,,
SE,Requirements Engineering,1,Familiarity,1,List the key components of a use case or similar description of some behavior that is required for a system.,,,
SE,Requirements Engineering,1,Familiarity,2,Describe how the requirements engineering process supports the elicitation and validation of behavioral requirements.,,,
SE,Requirements Engineering,1,Familiarity,3,Interpret a given requirements model for a simple software system.,,,
SE,Requirements Engineering,2,Familiarity,4,Describe the fundamental challenges of and common techniques used for requirements elicitation.,,,
SE,Requirements Engineering,2,Familiarity,5,"List the key components of a data model (eg, class diagrams or ER diagrams).",8/19/13,Revised,
SE,Requirements Engineering,2,Usage,6,Identify both functional and non-functional requirements in a given requirements specification for a software system.,,,
SE,Requirements Engineering,2,Usage,7,Conduct a review of a set of software requirements to determine the quality of the requirements with respect to the characteristics of good requirements.,8/19/13,New,
SE,Requirements Engineering,3,Usage,8,Apply key elements and common methods for elicitation and analysis to produce a set of software requirements for a medium-sized software system.,,,
SE,Requirements Engineering,3,Familiarity,9,Compare the plan-driven and agile approaches to requirements specification and validation and describe the benefits and risks associated with each.,8/19/13,New,
SE,Requirements Engineering,3,Usage,10,"Use a common, non-formal method to model and specify the requirements for a medium-size software system.",,,
SE,Requirements Engineering,3,Usage,11,"Translate into natural language a software requirements specification (eg, a software component contract) written in a formal specification language.",,,
SE,Requirements Engineering,3,Usage,12,Create a prototype of a software system to mitigate risk in requirements.,,,
SE,Requirements Engineering,3,Familiarity,13,Differentiate between forward and backward tracing and explain their roles in the requirements validation process.,,,
,,,,,,,,
SE,Software Design,3,5,,,,,
SE,Software Design,1,Familiarity,1,"Articulate design principles including separation of concerns, information hiding, coupling and cohesion, and encapsulation.",8/19/13,Revised,
SE,Software Design,1,Usage,2,"Use a design paradigm to design a simple software system, and explain how system design principles have been applied in this design.",8/19/13,New,
SE,Software Design,1,Usage,3,Construct models of the design of a simple software system that are appropriate for the paradigm used to design it.,,,
SE,Software Design,1,Familiarity,4,"Within the context of a single design paradigm, describe one or more design patterns that could be applicable to the design of a simple software system.",8/19/13,Outcome removed,
SE,Software Design,2,Usage,5,"For a simple system suitable for a given scenario, discuss and select an appropriate design paradigm.",,,
SE,Software Design,2,Usage,6,Create appropriate models for the structure and behavior of software products from their requirements specifications.,,,
SE,Software Design,2,Assessment,7,"Explain the relationships between the requirements for a software product and its design, using appropriate models.",8/19/13,Outcome removed,
SE,Software Design,2,Familiarity,8,"For the design of a simple software system within the context of a single design paradigm, describe the software architecture of that system.",8/19/13,New,
SE,Software Design,2,Familiarity,9,"Given a high-level design, identify the software architecture by differentiating among common software architectures such as 3-tier, pipe-and-filter, and client-server.",,,
SE,Software Design,2,Assessment,10,Investigate the impact of software architectures selection on the design of a simple system.,,,
SE,Software Design,2,Usage,11,Apply simple examples of patterns in a software design.,8/19/13,New,
SE,Software Design,2,Familiarity,12,Describe a form of refactoring and discuss when it may be applicable.,8/19/13,New,
SE,Software Design,2,Usage,13,Select suitable components for use in the design of a software product.,,,
SE,Software Design,2,Familiarity,14,Explain how suitable components might need to be adapted for use in the design of a software product.,,,
SE,Software Design,2,Usage,15,Design a contract for a typical small software component for use in a given system.,8/2/13,Added,
SE,Software Design,3,Usage,16,Discuss and select appropriate software architecture for a simple system suitable for a given scenario.,,,
SE,Software Design,3,Usage,17,Apply models for internal and external qualities in designing software components to achieve an acceptable tradeoff between conflicting quality aspects.,,,
SE,Software Design,3,Assessment,18,Analyze a software design from the perspective of a significant internal quality attribute.,,,
SE,Software Design,3,Assessment,19,Analyze a software design from the perspective of a significant external quality attribute.,,,
SE,Software Design,3,Familiarity,20,Explain the role of objects in middleware systems and the relationship with components.,,,
SE,Software Design,3,Usage,21,"Apply component-oriented approaches to the design of a range of software, such as using components for concurrency and transactions, for reliable communication services, for database interaction including services for remote query and database management, or for secure communication and access.",,,
SE,Software Design,3,Usage,22,Refactor an existing software implementation to improve some aspect of its design.,8/2/13,New,
SE,Software Design,3,Familiarity,23,State and apply the principles of least privilege and fail-safe defaults.,8/2/13,New,
,,,,,,,,
SE,Software Construction,0,2,,,,,
SE,Software Construction,2,Familiarity,1,"Describe techniques, coding idioms and mechanisms for implementing designs to achieve desired properties such as reliability, efficiency, and robustness.",,,
SE,Software Construction,2,Usage,2,Build robust code using exception handling mechanisms.,,,
SE,Software Construction,2,Familiarity,3,Describe secure coding and defensive coding practices.,,,
SE,Software Construction,2,Usage,4,Select and use a defined coding standard in a small software project.,,,
SE,Software Construction,2,Familiarity,5,"Compare and contrast integration strategies including top-down, bottom-up, and sandwich integration.",,,
SE,Software Construction,2,Familiarity,6,Describe the process of analyzing and implementing changes to code base developed for a specific project.,,,
